ctuid,refYear,dwellingtype,bedroomtype, RentalUnitAmount , PopulationAmount , AverageRent , ConstructedBefore1960 , Constructed1960to1979 , Constructed1980to1999 , ConstructedAfter2000 
0160.02,2018,1,2, 155 , 305 ," 1,253 ", 15 , 50 , 85 , 5 
0160.02,2018,1,3, 6 , 18 ," 1,395 ", null , null , null , -   
0160.02,2018,2,2, 80 , 150 ," 1,492 ", -   , 70 , 10 , -   
0160.02,2018,2,3, 220 , 730 ," 1,564 ", 15 , 156 , 39 , 10 
0160.02,2018,4,3, 24 , 52 ," 1,576 ", -   , 25 , -   , -   
0160.03,2018,1,2, 50 , 88 ," 1,390 ", -   , -   , -   , 50 
0160.03,2018,1,3, 1 , 4 ," 1,727 ", null , null , null , -   
0160.03,2018,2,2, 10 , 21 ," 1,409 ", -   , -   , -   , 10 
0160.03,2018,2,3, 179 , 492 ," 1,730 ", -   , -   , 10 , 170 
0160.03,2018,3,2, 10 , 10 , 981 , 4 , 3 , 1 , 2 
0160.03,2018,3,3, 10 , 16 , 728 , -   , -   , -   , 10 
0160.03,2018,4,0, 10 , 3 ," 1,579 ", 10 , -   , -   , -   
0160.03,2018,4,3, 49 , 166 ," 2,258 ", -   , -   , 9 , 40 
0160.04,2018,1,1, 19 , 21 , 892 , -   , -   , 13 , 7 
0160.04,2018,1,2, 30 , 52 ," 1,024 ", -   , -   , 30 , -   
0160.04,2018,1,3, 10 , 21 ," 1,236 ", -   , -   , 10 , -   
0160.04,2018,2,2, 65 , 135 ," 1,297 ", -   , 14 , 42 , 9 
0160.04,2018,2,3, 275 , 797 ," 1,441 ", -   , 105 , 160 , 10 
0160.04,2018,3,3, 10 , 10 , 891 , 4 , 4 , 2 , 1 
0160.04,2018,4,3, 20 , 72 ," 1,485 ", -   , -   , 20 , -   
0160.05,2018,1,1, 45 , 52 ," 1,020 ", 9 , 14 , 22 , -   
0160.05,2018,1,2, 135 , 223 ," 1,170 ", -   , 63 , 72 , -   
0160.05,2018,1,3, 10 , 47 ," 1,547 ", -   , 5 , 5 , -   
0160.05,2018,2,3, 20 , 47 ," 1,356 ", -   , -   , 20 , -   
0160.05,2018,4,2, 10 , 31 , 945 , -   , -   , 10 , -   
0160.05,2018,4,3, 9 , 31 ," 1,523 ", 9 , -   , -   , -   
0160.06,2018,1,1, 329 , 450 ," 1,834 ", -   , -   , 15 , 315 
0160.06,2018,1,2, 480 , 833 ," 2,049 ", -   , 10 , 36 , 434 
0160.06,2018,1,3, 25 , 47 ," 1,282 ", -   , -   , -   , 25 
0160.06,2018,2,2, 19 , 57 ," 1,366 ", -   , -   , 10 , 10 
0160.06,2018,2,3, 185 , 538 ," 1,482 ", -   , 16 , 100 , 69 
0160.06,2018,4,3, 10 , 21 ," 1,692 ", 3 , 3 , 2 , 1 
0160.06,2018,5,2, 10 , 10 ," 1,065 ", -   , 3 , 4 , 2 
0160.07,2018,1,2, 15 , 16 ," 1,178 ", -   , -   , 15 , -   
0160.07,2018,2,2, 25 , 47 ," 1,160 ", -   , -   , 12 , 12 
0160.07,2018,2,3, 74 , 181 ," 1,492 ", -   , -   , 48 , 27 
0160.07,2018,4,3, 20 , 41 ," 1,820 ", -   , -   , 10 , 10 
0160.09,2018,1,2, 10 , 20 ," 1,610 ", 2 , 4 , 2 , 1 
0160.09,2018,4,3, 49 , 129 ," 2,085 ", 21 , 21 , 8 , -   
0160.10,2018,1,2, 15 , 36 ," 1,554 ", -   , -   , -   , 15 
0160.10,2018,2,2, 10 , 36 ," 1,395 ", -   , -   , -   , 10 
0160.10,2018,2,3, 244 , 745 ," 1,721 ", -   , -   , 52 , 193 
0160.10,2018,4,3, 45 , 171 ," 1,880 ", -   , -   , 11 , 34 
0160.11,2018,1,1, 25 , 36 ," 1,160 ", -   , -   , -   , 25 
0160.11,2018,1,2, 40 , 78 , 986 , -   , 10 , -   , 30 
0160.11,2018,2,2, 10 , 31 ," 1,403 ", -   , -   , 5 , 5 
0160.11,2018,2,3, 174 , 538 ," 1,668 ", -   , 10 , 36 , 129 
0160.11,2018,4,3, 25 , 114 ," 2,113 ", 7 , -   , -   , 18 
0161.03,2018,1,2, 10 , 20 ," 1,049 ", 2 , 4 , 2 , 1 
0161.03,2018,2,1, 10 , 10 ," 1,026 ", -   , -   , 10 , -   
0161.03,2018,2,2, 40 , 93 , 863 , -   , -   , 40 , -   
0161.03,2018,2,3, 145 , 518 ," 1,530 ", -   , 15 , 120 , 10 
0161.03,2018,4,1, 10 , 10 , 903 , -   , 10 , -   , -   
0161.03,2018,4,2, 20 , 26 ," 1,192 ", -   , -   , 20 , -   
0161.03,2018,4,3, 20 , 88 ," 1,602 ", -   , -   , 20 , -   
0161.04,2018,1,2, 10 , 21 ," 1,634 ", -   , -   , -   , 10 
0161.04,2018,2,3, 84 , 238 ," 1,139 ", -   , 11 , 58 , 16 
0161.04,2018,4,2, 10 , 10 ," 1,383 ", 4 , 3 , 1 , 1 
0161.04,2018,4,3, 14 , 83 ," 1,887 ", -   , -   , 15 , -   
0161.05,2018,2,2, 10 , 10 ," 1,437 ", 1 , 3 , 4 , 2 
0161.05,2018,2,3, 114 , 352 ," 1,787 ", -   , -   , 33 , 81 
0161.05,2018,3,3, 10 , 10 ," 1,124 ", 4 , 4 , 2 , 1 
0161.05,2018,4,3, 38 , 124 ," 1,745 ", -   , 9 , 30 , -   
0161.06,2018,1,1, 10 , 13 ," 1,153 ", 2 , 5 , 2 , 1 
0161.06,2018,1,2, 45 , 72 ," 1,347 ", -   , -   , -   , 45 
0161.06,2018,2,2, 70 , 129 ," 1,436 ", -   , -   , 16 , 54 
0161.06,2018,2,3, 175 , 559 ," 1,717 ", -   , 16 , 90 , 69 
0161.06,2018,4,2, 8 , 26 ," 1,173 ", -   , -   , 10 , -   
0161.06,2018,4,3, 29 , 83 ," 2,060 ", -   , -   , -   , 29 
0162.01,2018,1,2, 10 , 10 ," 1,183 ", -   , -   , -   , 10 
0162.01,2018,2,2, 10 , 16 ," 1,531 ", 1 , 3 , 4 , 2 
0162.01,2018,2,3, 189 , 580 ," 1,871 ", -   , 55 , 70 , 65 
0162.01,2018,3,3, 60 , 171 ," 1,581 ", 12 , -   , 24 , 24 
0162.01,2018,4,3, 45 , 129 ," 1,392 ", -   , 36 , 9 , -   
0162.02,2018,2,2, 35 , 67 , 957 , -   , -   , 35 , -   
0162.02,2018,2,3, 89 , 300 ," 1,458 ", -   , 13 , 51 , 26 
0162.02,2018,3,2, 10 , 16 ," 1,360 ", -   , 5 , 5 , -   
0162.02,2018,3,3, 60 , 228 ," 1,237 ", -   , 48 , 12 , -   
0162.02,2018,4,3, 35 , 104 ," 1,389 ", -   , 10 , 25 , -   
0170.01,2018,1,1, 10 , 10 ," 1,376 ", 2 , 5 , 2 , 1 
0170.01,2018,1,2, 47 , 41 ," 1,549 ", -   , 9 , -   , 38 
0170.01,2018,1,3, 31 , 26 ," 1,912 ", -   , -   , 10 , 21 
0170.01,2018,2,2, 34 , 92 ," 1,567 ", -   , -   , 9 , 26 
0170.01,2018,2,3, 85 , 251 ," 1,391 ", -   , 42 , 24 , 19 
0170.01,2018,3,3, 10 , 31 ," 1,102 ", 4 , 4 , 2 , 1 
0170.01,2018,4,3, 28 , 67 ," 1,406 ", -   , 29 , -   , -   
0170.03,2018,2,1, 10 , 10 , 995 , -   , 10 , -   , -   
0170.03,2018,2,3, 15 , 31 ," 1,556 ", -   , -   , 15 , -   
0170.03,2018,3,3, 10 , 26 ," 1,431 ", -   , 5 , -   , 5 
0170.03,2018,4,2, 10 , 26 ," 1,522 ", 4 , 3 , 1 , 1 
0170.03,2018,4,3, 45 , 128 ," 1,467 ", -   , 20 , 25 , -   
0170.04,2018,1,1, 15 , 10 , 957 , -   , 8 , 8 , -   
0170.04,2018,1,2, 10 , 20 ," 1,190 ", 2 , 4 , 2 , 1 
0170.04,2018,2,3, 20 , 51 ," 1,405 ", -   , -   , 20 , -   
0170.04,2018,4,2, 20 , 26 ," 1,303 ", -   , -   , -   , 20 
0170.04,2018,4,3, 55 , 149 ," 1,462 ", -   , 25 , 30 , -   
0170.05,2018,2,3, 60 , 225 ," 1,477 ", -   , 26 , 26 , 9 
0170.05,2018,4,3, 29 , 102 ," 1,590 ", -   , 12 , 18 , -   
0170.08,2018,2,3, 10 , 10 ," 1,334 ", 1 , 4 , 3 , 2 
0170.09,2018,2,1, 20 , 41 ," 1,257 ", -   , -   , 20 , -   
0170.09,2018,2,2, 15 , 26 ," 1,274 ", -   , 8 , 8 , -   
0170.09,2018,2,3, 85 , 236 ," 1,461 ", -   , 16 , 69 , -   
0170.09,2018,4,1, 10 , 10 , 953 , 4 , 3 , 2 , 1 
0170.09,2018,4,3, 35 , 138 ," 1,686 ", -   , -   , 35 , -   
0170.10,2018,1,1, 100 , 123 ," 1,036 ", -   , 10 , 40 , 50 
0170.10,2018,1,2, 120 , 215 ," 1,263 ", 9 , -   , 55 , 55 
0170.10,2018,2,1, 10 , 10 ," 1,038 ", 3 , 3 , 3 , 1 
0170.10,2018,2,3, 30 , 108 ," 1,461 ", -   , 13 , 17 , -   
0170.10,2018,4,3, 30 , 67 ," 1,694 ", -   , -   , 30 , -   
0170.11,2018,2,2, 20 , 51 ," 1,351 ", -   , -   , 10 , 10 
0170.11,2018,2,3, 40 , 67 ," 1,117 ", -   , -   , 40 , -   
0170.11,2018,4,2, 9 , 19 ," 1,368 ", 4 , 3 , 1 , 1 
0170.11,2018,4,3, 10 , 46 ," 1,839 ", -   , 5 , 5 , -   
0170.12,2018,2,2, 10 , 15 ," 1,676 ", 1 , 3 , 4 , 2 
0170.12,2018,2,3, 94 , 323 ," 1,669 ", -   , -   , 33 , 62 
0170.13,2018,2,3, 95 , 292 ," 1,572 ", -   , -   , 80 , 15 
0170.13,2018,4,3, 14 , 61 ," 2,037 ", -   , -   , 7 , 7 
0171.03,2018,1,1, 20 , 36 ," 1,024 ", -   , 7 , 7 , 7 
0171.03,2018,1,2, 20 , 30 ," 1,517 ", 10 , 10 , -   , -   
0171.03,2018,3,1, 25 , 30 , 844 , 6 , 6 , 6 , 6 
0171.03,2018,3,3, 20 , 66 ," 1,120 ", 10 , 10 , -   , -   
0171.03,2018,4,1, 20 , 36 ," 1,012 ", 8 , -   , 12 , -   
0171.03,2018,4,2, 54 , 96 ," 1,285 ", 29 , 15 , -   , 10 
0171.03,2018,4,3, 104 , 299 ," 1,737 ", 38 , 38 , 28 , -   
0171.05,2018,1,1, 10 , 15 ," 1,418 ", -   , -   , -   , 10 
0171.05,2018,1,2, 20 , 46 ," 1,507 ", -   , 8 , -   , 12 
0171.05,2018,2,2, 10 , 15 ," 1,686 ", -   , -   , -   , 10 
0171.05,2018,2,3, 90 , 259 ," 1,892 ", -   , -   , 10 , 80 
0171.05,2018,3,2, 10 , 10 ," 1,645 ", 4 , 3 , 1 , 2 
0171.05,2018,3,3, 10 , 15 ," 1,963 ", 4 , 4 , 2 , 1 
0171.05,2018,4,2, 44 , 56 ," 1,329 ", -   , -   , -   , 45 
0171.05,2018,4,3, 9 , 25 ," 2,364 ", -   , -   , -   , 9 
0171.06,2018,1,1, 39 , 51 , 531 , -   , 29 , 11 , -   
0171.06,2018,1,2, 30 , 46 ," 1,002 ", 9 , 13 , 9 , -   
0171.06,2018,1,3, 15 , 41 , 981 , 8 , 8 , -   , -   
0171.06,2018,2,2, 10 , 10 , 809 , 1 , 3 , 4 , 2 
0171.06,2018,2,3, 10 , 20 ," 1,857 ", -   , -   , 10 , -   
0171.06,2018,3,2, 15 , 15 , 776 , -   , 8 , 8 , -   
0171.06,2018,4,1, 10 , 20 ," 1,517 ", 4 , 3 , 2 , 1 
0171.06,2018,4,2, 65 , 123 ," 1,247 ", 23 , 14 , 14 , 14 
0171.06,2018,4,3, 79 , 195 ," 1,858 ", 40 , 25 , 15 , -   
0171.07,2018,2,2, 10 , 31 ," 1,480 ", -   , -   , 10 , -   
0171.07,2018,2,3, 69 , 241 ," 1,682 ", -   , -   , 22 , 48 
0171.07,2018,4,3, 25 , 87 ," 2,035 ", -   , -   , -   , 25 
0171.09,2018,1,1, 19 , 26 ," 1,109 ", -   , -   , -   , 19 
0171.09,2018,1,2, 127 , 272 ," 1,565 ", -   , 10 , 10 , 108 
0171.09,2018,2,2, 20 , 31 ," 1,398 ", -   , -   , -   , 20 
0171.09,2018,2,3, 198 , 641 ," 1,866 ", -   , -   , -   , 199 
0171.09,2018,4,3, 20 , 92 ," 2,340 ", 5 , -   , -   , 15 
0171.10,2018,1,1, 15 , 26 ," 1,248 ", -   , -   , -   , 15 
0171.10,2018,1,2, 145 , 287 ," 1,364 ", -   , -   , 15 , 130 
0171.10,2018,2,2, 50 , 118 ," 1,675 ", -   , -   , -   , 50 
0171.10,2018,2,3, 165 , 507 ," 1,808 ", -   , -   , -   , 165 
0171.10,2018,4,3, 30 , 97 ," 2,391 ", -   , -   , -   , 30 
0180.01,2018,1,0, 1 , 1 , 753 , null , null , null , -   
0180.01,2018,1,1, 136 , 152 , 746 , 20 , 55 , 30 , 31 
0180.01,2018,1,2, 301 , 462 ," 1,130 ", 26 , 61 , 61 , 154 
0180.01,2018,1,3, 49 , 122 ," 1,078 ", 10 , 20 , 10 , 9 
0180.01,2018,2,2, 50 , 96 ," 1,006 ", -   , 11 , 39 , -   
0180.01,2018,2,3, 25 , 81 ," 1,168 ", -   , 12 , 12 , -   
0180.01,2018,3,2, 25 , 66 , 979 , 10 , -   , 15 , -   
0180.01,2018,3,3, 65 , 243 ," 1,607 ", -   , 25 , 30 , 10 
0180.01,2018,4,2, 30 , 61 ," 1,350 ", 8 , 8 , 8 , 8 
0180.01,2018,4,3, 105 , 370 ," 1,788 ", 21 , 21 , 37 , 26 
0180.02,2018,1,1, 100 , 117 , 896 , 14 , 19 , 48 , 19 
0180.02,2018,1,2, 225 , 360 ," 1,184 ", 34 , 39 , 68 , 83 
0180.02,2018,1,3, 25 , 91 ," 1,444 ", -   , -   , 25 , -   
0180.02,2018,2,1, 10 , 18 , 959 , 3 , 3 , 3 , 2 
0180.02,2018,2,2, 29 , 61 ," 1,202 ", -   , -   , 10 , 19 
0180.02,2018,2,3, 36 , 91 ," 1,567 ", -   , 9 , 9 , 18 
0180.02,2018,3,2, 15 , 25 , 955 , -   , 5 , 5 , 5 
0180.02,2018,4,2, 10 , 20 ," 1,075 ", -   , 5 , 5 , -   
0180.02,2018,4,3, 95 , 274 ," 1,565 ", 20 , 45 , 30 , -   
0181.01,2018,1,1, 40 , 46 , 692 , 13 , 27 , -   , -   
0181.01,2018,1,2, 10 , 10 ," 1,326 ", 10 , -   , -   , -   
0181.01,2018,1,3, 10 , 20 ," 1,709 ", 5 , 5 , -   , -   
0181.01,2018,3,2, 10 , 15 ," 1,545 ", -   , -   , 10 , -   
0181.01,2018,4,1, 15 , 20 , 919 , -   , 8 , 8 , -   
0181.01,2018,4,2, 10 , 10 ," 1,330 ", 5 , -   , -   , 5 
0181.01,2018,4,3, 80 , 238 ," 1,802 ", 43 , 11 , 27 , -   
0181.02,2018,1,1, 45 , 46 , 801 , 25 , -   , 10 , 10 
0181.02,2018,1,2, 70 , 117 , 974 , 14 , 23 , 23 , 9 
0181.02,2018,1,3, 30 , 101 ," 1,009 ", 15 , 15 , -   , -   
0181.02,2018,2,1, 10 , 17 ," 1,047 ", 3 , 3 , 3 , 1 
0181.02,2018,3,2, 25 , 51 , 916 , -   , 8 , 8 , 8 
0181.02,2018,3,3, 15 , 30 ," 1,150 ", 5 , 5 , 3 , 2 
0181.02,2018,4,1, 10 , 10 , 936 , -   , -   , -   , 10 
0181.02,2018,4,2, 20 , 36 ," 1,248 ", 10 , 10 , -   , -   
0181.02,2018,4,3, 60 , 188 ," 1,706 ", 10 , 30 , 20 , -   
0182.00,2018,1,2, 15 , 36 ," 1,255 ", -   , -   , 15 , -   
0182.00,2018,1,3, 10 , 25 ," 1,601 ", 3 , 4 , 2 , 1 
0182.00,2018,3,3, 10 , 20 ," 1,551 ", -   , -   , -   , 10 
0182.00,2018,4,1, 10 , 10 , 910 , -   , -   , 10 , -   
0182.00,2018,4,2, 35 , 56 ," 1,285 ", 10 , -   , 15 , 10 
0182.00,2018,4,3, 65 , 193 ," 1,650 ", 37 , 9 , 19 , -   
0183.00,2018,1,1, 50 , 66 , 944 , 11 , 17 , 11 , 11 
0183.00,2018,1,2, 84 , 142 ," 1,273 ", 9 , 9 , 31 , 35 
0183.00,2018,1,3, 26 , 15 ," 1,445 ", null , null , null , -   
0183.00,2018,3,2, 15 , 20 ," 1,104 ", 5 , -   , 5 , 5 
0183.00,2018,3,3, 10 , 41 ," 1,651 ", 10 , -   , -   , -   
0183.00,2018,4,2, 20 , 36 ," 1,611 ", -   , 8 , -   , 12 
0183.00,2018,4,3, 40 , 132 ," 1,870 ", 13 , -   , 18 , 9 
0184.00,2018,1,1, 90 , 112 , 842 , 24 , 9 , 42 , 15 
0184.00,2018,1,2, 235 , 417 ," 1,099 ", 15 , 50 , 65 , 105 
0184.00,2018,1,3, 15 , 51 , 941 , 4 , 7 , 3 , 1 
0184.00,2018,2,1, 10 , 17 , 858 , -   , -   , -   , 10 
0184.00,2018,2,2, 20 , 46 ," 1,149 ", -   , 10 , 10 , -   
0184.00,2018,2,3, 20 , 71 ," 1,416 ", -   , -   , 20 , -   
0184.00,2018,3,1, 10 , 10 , 850 , 10 , -   , -   , -   
0184.00,2018,3,2, 40 , 87 ," 1,082 ", -   , 10 , 10 , 20 
0184.00,2018,3,3, 10 , 10 , 782 , 10 , -   , -   , -   
0184.00,2018,4,1, 10 , 10 , 882 , 10 , -   , -   , -   
0184.00,2018,4,2, 10 , 25 ," 1,182 ", 10 , -   , -   , -   
0184.00,2018,4,3, 65 , 229 ," 1,803 ", -   , 37 , 28 , -   
0190.01,2018,1,1, 45 , 51 , 878 , 8 , 8 , 30 , -   
0190.01,2018,1,2, 15 , 20 , 978 , -   , -   , 15 , -   
0190.01,2018,2,2, 15 , 31 ," 1,441 ", -   , -   , 15 , -   
0190.01,2018,3,3, 20 , 31 , 802 , -   , 10 , 10 , -   
0190.01,2018,4,1, 10 , 10 ," 1,289 ", 10 , -   , -   , -   
0190.01,2018,4,2, 15 , 41 ," 1,291 ", -   , 8 , -   , 8 
0190.01,2018,4,3, 120 , 387 ," 1,727 ", 47 , 21 , 42 , 10 
0190.02,2018,1,2, 10 , 10 ," 1,491 ", 10 , -   , -   , -   
0190.02,2018,1,3, 10 , 28 ," 1,667 ", 3 , 4 , 2 , 1 
0190.02,2018,2,1, 10 , 10 ," 1,144 ", 5 , 5 , -   , -   
0190.02,2018,3,1, 15 , 15 , 987 , 8 , 8 , -   , -   
0190.02,2018,3,3, 20 , 46 ," 1,501 ", 5 , 5 , 5 , 5 
0190.02,2018,4,2, 20 , 51 ," 1,284 ", 20 , -   , -   , -   
0190.02,2018,4,3, 34 , 132 ," 2,105 ", 19 , 16 , -   , -   
0190.02,2018,5,2, 10 , 10 , 865 , -   , 3 , 4 , 2 
0191.01,2018,3,2, 10 , 10 ," 1,324 ", 4 , 3 , 1 , 2 
0191.01,2018,4,2, 30 , 46 ," 1,311 ", 12 , 18 , -   , -   
0191.01,2018,4,3, 29 , 102 ," 2,376 ", 18 , -   , -   , 12 
0191.02,2018,1,1, 35 , 36 , 749 , -   , -   , 35 , -   
0191.02,2018,1,2, 15 , 41 ," 1,191 ", -   , 8 , 8 , -   
0191.02,2018,2,2, 10 , 20 ," 1,141 ", -   , -   , 10 , -   
0191.02,2018,4,1, 15 , 20 , 802 , -   , 15 , -   , -   
0191.02,2018,4,2, 20 , 56 ," 1,388 ", 10 , 10 , -   , -   
0191.02,2018,4,3, 45 , 153 ," 1,700 ", 18 , 18 , 9 , -   
0191.02,2018,5,1, 10 , 10 , 721 , 10 , -   , -   , -   
0200.01,2018,1,3, 8 , 10 ," 1,558 ", 2 , 4 , 2 , 1 
0200.01,2018,4,1, 10 , 10 ," 1,145 ", 4 , 3 , 2 , 1 
0200.01,2018,4,2, 10 , 25 ," 1,522 ", 5 , -   , -   , 5 
0200.01,2018,4,3, 35 , 86 ," 1,832 ", 12 , 12 , 12 , -   
0200.02,2018,1,1, 31 , 25 , 942 , 15 , 15 , -   , 1 
0200.02,2018,1,2, -   , -   ," 1,168 ", null , null , null , -   
0200.02,2018,4,2, 45 , 96 ," 1,428 ", 12 , 16 , 8 , 8 
0200.02,2018,4,3, 99 , 284 ," 1,719 ", 55 , 35 , 10 , -   
0201.00,2018,1,1, 30 , 25 , 839 , 9 , 9 , 13 , -   
0201.00,2018,1,2, 10 , 15 , 942 , 2 , 4 , 2 , 1 
0201.00,2018,2,1, 10 , 10 , 911 , -   , -   , -   , 10 
0201.00,2018,2,2, 15 , 20 ," 1,188 ", 2 , 5 , 5 , 3 
0201.00,2018,2,3, 15 , 20 ," 1,180 ", -   , -   , -   , 15 
0201.00,2018,3,1, 15 , 20 ," 1,112 ", -   , 8 , -   , 8 
0201.00,2018,4,1, 10 , 10 ," 1,017 ", 4 , 3 , 2 , 1 
0201.00,2018,4,3, 42 , 111 ," 1,826 ", 18 , 18 , 9 , -   
0300.00,2018,1,1, 25 , 25 , 857 , -   , -   , 25 , -   
0300.00,2018,1,2, 15 , 15 ," 1,356 ", -   , 15 , -   , -   
0300.00,2018,2,1, 10 , 25 ," 1,140 ", -   , 5 , -   , 5 
0300.00,2018,2,2, 50 , 96 ," 1,638 ", -   , -   , -   , 50 
0300.00,2018,2,3, 110 , 279 ," 1,746 ", 9 , -   , 9 , 92 
0300.00,2018,3,3, 10 , 20 ," 1,504 ", 4 , 4 , 2 , 1 
0300.00,2018,4,1, 10 , 15 , 925 , 10 , -   , -   , -   
0300.00,2018,4,2, 45 , 76 ," 1,147 ", 14 , 14 , 9 , 9 
0300.00,2018,4,3, 100 , 273 ," 2,015 ", 40 , 35 , 15 , 10 
0301.00,2018,1,2, 15 , 30 ," 1,216 ", -   , 8 , 8 , -   
0301.00,2018,4,2, 20 , 41 ," 1,174 ", 20 , -   , -   , -   
0301.00,2018,4,3, 80 , 192 ," 1,597 ", 29 , 29 , 21 , -   
0302.00,2018,1,2, 10 , 10 ," 1,322 ", 2 , 4 , 2 , 1 
0302.00,2018,2,2, 10 , 15 ," 1,473 ", -   , -   , 10 , -   
0302.00,2018,4,1, 19 , 20 , 948 , 9 , 5 , 4 , 2 
0302.00,2018,4,2, 47 , 101 ," 1,266 ", 18 , 22 , 9 , -   
0302.00,2018,4,3, 104 , 294 ," 1,766 ", 30 , 35 , 25 , 20 
0400.00,2018,1,1, 115 , 163 , 892 , 50 , 40 , 25 , -   
0400.00,2018,1,2, 170 , 265 ," 1,180 ", 53 , 44 , 53 , 19 
0400.00,2018,1,3, 30 , 82 ," 1,277 ", 9 , 9 , -   , 13 
0400.00,2018,2,2, 15 , 15 ," 1,141 ", -   , -   , 15 , -   
0400.00,2018,2,3, 55 , 184 ," 1,441 ", 9 , 14 , 23 , 9 
0400.00,2018,3,1, 15 , 15 , 792 , 8 , 8 , -   , -   
0400.00,2018,3,2, 25 , 36 ," 1,017 ", 11 , 7 , 7 , -   
0400.00,2018,3,3, 50 , 133 ," 1,340 ", 25 , 17 , 8 , -   
0400.00,2018,4,1, 13 , 20 ," 1,077 ", 8 , 8 , -   , -   
0400.00,2018,4,2, 95 , 184 ," 1,321 ", 34 , 34 , 28 , -   
0400.00,2018,4,3, 209 , 617 ," 1,691 ", 105 , 43 , 43 , 19 
0400.00,2018,5,2, 10 , 15 , 979 , -   , 3 , 4 , 2 
